prev,curr,type,n
Golden_Horn,Leonardo_da_Vinci,link,12
Fire_sprinkler_system,Leonardo_da_Vinci,link,10
Codex_Arundel,Leonardo_da_Vinci,link,10
Armoured_fighting_vehicle,Leonardo_da_Vinci,link,34
Ginevra_de'_Benci_(aristocrat),Leonardo_da_Vinci,link,14
Far_Cry_5,Leonardo_da_Vinci,link,25
Leonardo_(2011_TV_series),Leonardo_da_Vinci,link,22
Franco_Zeffirelli,Leonardo_da_Vinci,link,23
Czartoryski_Museum,Leonardo_da_Vinci,link,11
History_of_painting,Leonardo_da_Vinci,link,18
April_15,Leonardo_da_Vinci,link,11
Helicopter,Leonardo_da_Vinci,link,45
Archimedes,Leonardo_da_Vinci,link,89
Xavier_Riddle_and_the_Secret_Museum,Leonardo_da_Vinci,link,20
Greater_Germanic_Reich,Leonardo_da_Vinci,link,10
Cesare_Borgia,Leonardo_da_Vinci,link,389
Ambidexterity,Leonardo_da_Vinci,link,43
La_Scapigliata,Leonardo_da_Vinci,link,59
Pierino_da_Vinci,Leonardo_da_Vinci,link,11
Oxygen,Leonardo_da_Vinci,link,34
1476,Leonardo_da_Vinci,link,18
The_Da_Vinci_Code_(film),Leonardo_da_Vinci,link,140
Genius,Leonardo_da_Vinci,link,49
Guglielmo_Marconi,Leonardo_da_Vinci,other,13
Pope_Clement_VII,Leonardo_da_Vinci,link,41
La_Belle_Ferronnière,Leonardo_da_Vinci,link,43
The_Lost_Leonardo,Leonardo_da_Vinci,link,28
Wright_brothers,Leonardo_da_Vinci,link,31
Invention,Leonardo_da_Vinci,link,13
List_of_last_words,Leonardo_da_Vinci,link,16
Nicolaus_Copernicus,Leonardo_da_Vinci,other,17
Leonardo's_horse,Leonardo_da_Vinci,link,38
Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,Leonardo_da_Vinci,link,12
Jacopo_Saltarelli,Leonardo_da_Vinci,link,14
Robotics,Leonardo_da_Vinci,link,10
Italy,Leonardo_da_Vinci,link,301
List_of_works_by_Leonardo_da_Vinci,Leonardo_da_Vinci,link,331
Galileo_Galilei,Leonardo_da_Vinci,other,117
History_of_medicine,Leonardo_da_Vinci,link,11
16th_century,Leonardo_da_Vinci,link,72
Il_più_grande_italiano_di_tutti_i_tempi,Leonardo_da_Vinci,link,23
Saint_John_the_Baptist_(Leonardo),Leonardo_da_Vinci,link,120
Angus_Sampson,Leonardo_da_Vinci,link,23
Milan_Cathedral,Leonardo_da_Vinci,link,43
Leda_and_the_Swan_(Leonardo),Leonardo_da_Vinci,link,19
Pyotr_Wrangel,Leonardo_da_Vinci,other,71
Friction,Leonardo_da_Vinci,link,14
The_Da_Vinci_Code,Leonardo_da_Vinci,link,101
David_(Michelangelo),Leonardo_da_Vinci,link,132
Heart,Leonardo_da_Vinci,link,16
1452,Leonardo_da_Vinci,link,16
Bachelor,Leonardo_da_Vinci,link,16
Julius_Caesar,Leonardo_da_Vinci,other,12
Arsène_Houssaye,Leonardo_da_Vinci,link,17
LGBT_people_in_science,Leonardo_da_Vinci,link,33
Rembrandt,Leonardo_da_Vinci,link,41
Biomimetics,Leonardo_da_Vinci,link,11
Sanguine,Leonardo_da_Vinci,link,11
Stanley_Tucci_on_screen_and_stage,Leonardo_da_Vinci,link,14
Jesus,Leonardo_da_Vinci,other,13
Secular_humanism,Leonardo_da_Vinci,link,10
Domenico_Maria_Novara_da_Ferrara,Leonardo_da_Vinci,link,11
"Vinci,_Tuscany",Leonardo_da_Vinci,link,107
Human_head,Leonardo_da_Vinci,link,43
other-search,Leonardo_da_Vinci,external,129153
Moderator_band_(heart),Leonardo_da_Vinci,link,10
List_of_redheads,Leonardo_da_Vinci,link,52
Same-sex_relationship,Leonardo_da_Vinci,link,13
Lorenzo_di_Credi,Leonardo_da_Vinci,link,13
Hygrometer,Leonardo_da_Vinci,link,20
Elephant,Leonardo_da_Vinci,link,20
Necromancy,Leonardo_da_Vinci,link,24
Oil_painting,Leonardo_da_Vinci,link,136
Baptism_of_Jesus,Leonardo_da_Vinci,link,48
Francis_I_of_France,Leonardo_da_Vinci,link,273
Gallerie_dell'Accademia,Leonardo_da_Vinci,link,10
Virgin_of_the_Rocks,Leonardo_da_Vinci,link,201
John_Rhys-Davies,Leonardo_da_Vinci,link,12
Cultural_references_to_Leonardo_da_Vinci,Leonardo_da_Vinci,link,14
Dynasphere_(vehicle),Leonardo_da_Vinci,link,19
Catalog_of_paintings_in_the_Louvre_Museum,Leonardo_da_Vinci,link,18
Parabola,Leonardo_da_Vinci,link,22
Book_of_Revelation,Leonardo_da_Vinci,other,10
Bearing_(mechanical),Leonardo_da_Vinci,link,34
The_Last_Supper_(Leonardo),Leonardo_da_Vinci,link,1731
The_Death_of_Leonardo_da_Vinci,Leonardo_da_Vinci,link,26
Science_and_inventions_of_Leonardo_da_Vinci,Leonardo_da_Vinci,link,194
Mona_Lisa,Leonardo_da_Vinci,link,8495
Western_culture,Leonardo_da_Vinci,link,74
Salaì,Leonardo_da_Vinci,link,920
Andrea_del_Verrocchio,Leonardo_da_Vinci,link,115
Branch,Leonardo_da_Vinci,link,10
Mirror_writing,Leonardo_da_Vinci,link,44
Anton_Bakov,Leonardo_da_Vinci,link,58
Hans_Holbein_the_Younger,Leonardo_da_Vinci,link,26
List_of_Assassin's_Creed_characters,Leonardo_da_Vinci,link,11
National_Gallery,Leonardo_da_Vinci,link,21
Masterpiece,Leonardo_da_Vinci,link,168
Recoilless_rifle,Leonardo_da_Vinci,link,15
Leonardo,Leonardo_da_Vinci,link,101
Mark_Rylance_on_screen_and_stage,Leonardo_da_Vinci,link,13
"Santa_Croce,_Florence",Leonardo_da_Vinci,link,115
Ludovico_Sforza,Leonardo_da_Vinci,link,19
L.H.O.O.Q.,Leonardo_da_Vinci,link,15
History_of_timekeeping_devices,Leonardo_da_Vinci,link,18
Public_domain,Leonardo_da_Vinci,link,231
Niccolò_Machiavelli,Leonardo_da_Vinci,link,37
The_Ugly_Duchess,Leonardo_da_Vinci,link,40
Da_Vinci_Surgical_System,Leonardo_da_Vinci,link,53
Tribology,Leonardo_da_Vinci,link,15
Leonardo's_fighting_vehicle,Leonardo_da_Vinci,link,126
Embryology,Leonardo_da_Vinci,link,22
Italian_Renaissance_painting,Leonardo_da_Vinci,link,69
Old_Master,Leonardo_da_Vinci,link,85
other-other,Leonardo_da_Vinci,external,87
Lathe,Leonardo_da_Vinci,link,23
"History_of_the_World,_Part_I",Leonardo_da_Vinci,link,15
Leonardo_S.p.A.,Leonardo_da_Vinci,link,71
Glass_Onion:_A_Knives_Out_Mystery,Leonardo_da_Vinci,link,36
The_Virgin_and_Child_with_Saint_Anne_(Leonardo),Leonardo_da_Vinci,link,68
Stink_bomb,Leonardo_da_Vinci,link,15
Chiaroscuro,Leonardo_da_Vinci,link,37
Bernardino_Luini,Leonardo_da_Vinci,link,21
other-internal,Leonardo_da_Vinci,external,6141
Luca_Argentero,Leonardo_da_Vinci,link,15
"Santa_Maria_delle_Grazie,_Milan",Leonardo_da_Vinci,link,90
Ornithopter,Leonardo_da_Vinci,link,49
Color_theory,Leonardo_da_Vinci,link,27
Museo_leonardiano_di_Vinci,Leonardo_da_Vinci,link,15
Cruelty_to_animals,Leonardo_da_Vinci,link,22
Paper_plane,Leonardo_da_Vinci,link,10
Sonar,Leonardo_da_Vinci,link,86
"Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",Leonardo_da_Vinci,link,34
Heroes_of_History,Leonardo_da_Vinci,link,27
Italian_art,Leonardo_da_Vinci,link,25
Naturism,Leonardo_da_Vinci,link,13
Human_body,Leonardo_da_Vinci,link,34
Francisco_Goya,Leonardo_da_Vinci,other,17
Pioneer_plaque,Leonardo_da_Vinci,link,25
Spider-Man:_Across_the_Spider-Verse,Leonardo_da_Vinci,link,15
Athanasius_Kircher,Leonardo_da_Vinci,link,34
Pierre-Auguste_Renoir,Leonardo_da_Vinci,link,10
Interchange_(de_Kooning),Leonardo_da_Vinci,link,14
Mona_Lisa_Smile,Leonardo_da_Vinci,link,23
Vitruvian_Man,Leonardo_da_Vinci,link,1391
Mona_Lisa_(Prado),Leonardo_da_Vinci,link,78
History_of_aviation,Leonardo_da_Vinci,link,74
Tommaso_Masini,Leonardo_da_Vinci,link,17
Ernő_Rubik,Leonardo_da_Vinci,link,12
History_of_the_tank,Leonardo_da_Vinci,link,46
Lorenzo_de'_Medici,Leonardo_da_Vinci,link,109
Saint_Jerome_in_the_Wilderness_(Leonardo),Leonardo_da_Vinci,link,31
Wieliczka_Salt_Mine,Leonardo_da_Vinci,link,10
Crayon,Leonardo_da_Vinci,link,13
John_Garrett_(comics),Leonardo_da_Vinci,link,23
List_of_works_by_Michelangelo,Leonardo_da_Vinci,link,11
Anatomy,Leonardo_da_Vinci,link,19
Candide,Leonardo_da_Vinci,other,46
Last_Supper,Leonardo_da_Vinci,link,374
India,Leonardo_da_Vinci,other,16
Annunciation,Leonardo_da_Vinci,link,20
Walter_Isaacson,Leonardo_da_Vinci,link,59
Renaissance_art,Leonardo_da_Vinci,link,122
Greek_mythology,Leonardo_da_Vinci,link,10
Uffizi,Leonardo_da_Vinci,link,71
Republic_of_Florence,Leonardo_da_Vinci,link,15
Study_for_the_Madonna_of_the_Cat,Leonardo_da_Vinci,link,11
Martin_Kemp_(art_historian),Leonardo_da_Vinci,link,11
Lady_with_an_Ermine,Leonardo_da_Vinci,link,222
Pablo_Picasso,Leonardo_da_Vinci,other,73
Aidan_Turner,Leonardo_da_Vinci,link,36
Gabriel,Leonardo_da_Vinci,link,36
Claude_Monet,Leonardo_da_Vinci,other,17
Italian_literature,Leonardo_da_Vinci,link,14
Caricature,Leonardo_da_Vinci,link,14
List_of_most_expensive_paintings,Leonardo_da_Vinci,link,1032
List_of_Star_Trek_characters,Leonardo_da_Vinci,link,14
Pazzi_conspiracy,Leonardo_da_Vinci,link,52
Psychosis_(album),Leonardo_da_Vinci,link,12
Wiki,Leonardo_da_Vinci,other,14
List_of_most_expensive_books_and_manuscripts,Leonardo_da_Vinci,link,19
Study_(art),Leonardo_da_Vinci,link,10
New_World,Leonardo_da_Vinci,link,28
History_of_homosexuality,Leonardo_da_Vinci,link,15
Hudson_Hawk,Leonardo_da_Vinci,link,17
Ever_After,Leonardo_da_Vinci,link,150
List_of_S.H.I.E.L.D._members,Leonardo_da_Vinci,link,11
Vitruvius,Leonardo_da_Vinci,link,90
Andrea_del_Sarto,Leonardo_da_Vinci,link,15
Assassin's_Creed,Leonardo_da_Vinci,link,16
Biceps,Leonardo_da_Vinci,link,16
Salvator_Mundi,Leonardo_da_Vinci,link,34
Benois_Madonna,Leonardo_da_Vinci,link,22
Tom_Riley_(actor),Leonardo_da_Vinci,link,10
William_Shakespeare,Leonardo_da_Vinci,other,77
List_of_autodidacts,Leonardo_da_Vinci,link,37
Abel_Ferrara,Leonardo_da_Vinci,link,38
Gottfried_Wilhelm_Leibniz,Leonardo_da_Vinci,other,13
Personal_life_of_Leonardo_da_Vinci,Leonardo_da_Vinci,link,245
Deaths_in_2023,Leonardo_da_Vinci,other,10
Parachute,Leonardo_da_Vinci,link,42
Renaissance_technology,Leonardo_da_Vinci,link,27
Europe,Leonardo_da_Vinci,link,12
Western_painting,Leonardo_da_Vinci,link,10
Art_of_Europe,Leonardo_da_Vinci,link,14
The_Three_Musketeers_(2011_film),Leonardo_da_Vinci,link,30
Ribauldequin,Leonardo_da_Vinci,link,25
Quattrocento,Leonardo_da_Vinci,link,36
Leonardo_(Teenage_Mutant_Ninja_Turtles),Leonardo_da_Vinci,link,498
Mimar_Sinan,Leonardo_da_Vinci,link,19
Kahlil_Gibran,Leonardo_da_Vinci,link,12
Leo_Da_Vinci:_Mission_Mona_Lisa,Leonardo_da_Vinci,link,20
Michelangelo_and_the_Medici,Michelangelo,link,57
San_Pietro_in_Vincoli,Michelangelo,link,24
Michelangelo_Anselmi,Michelangelo,link,14
Goliath,Michelangelo,link,29
Dante_Alighieri,Michelangelo,other,14
Painterliness,Michelangelo,link,10
Titian,Michelangelo,link,31
Giorgio_Vasari,Michelangelo,link,124
Perseus_with_the_Head_of_Medusa,Michelangelo,link,26
Original_sin,Michelangelo,link,14
Dying_Slave,Michelangelo,link,46
Grand_Duchess_Olga_Nikolaevna_of_Russia,Michelangelo,link,10
Pope_Paul_III,Michelangelo,link,80
Jonah,Michelangelo,link,25
Vatican_Museums,Michelangelo,link,55
The_Crucifixion_of_St._Peter_(Michelangelo),Michelangelo,link,70
List_of_LGBT_artists,Michelangelo,link,34
House_of_Medici,Michelangelo,link,277
Bastion_fort,Michelangelo,link,39
The_Thinker,Michelangelo,link,74
Pietro_Aretino,Michelangelo,link,10
The_Torment_of_Saint_Anthony,Michelangelo,link,35
High_Renaissance,Michelangelo,link,622
Caravaggio,Michelangelo,link,129
Louvre,Michelangelo,link,40
Temptation_of_Saint_Anthony_in_visual_arts,Michelangelo,link,20
Longevity,Michelangelo,link,10
The_Agony_and_the_Ecstasy_(novel),Michelangelo,link,148
List_(information),Michelangelo,link,11
Adolf_Hitler,Michelangelo,other,12
other-empty,Michelangelo,external,22456
Laocoön_and_His_Sons,Michelangelo,link,21
Timeline_of_Italian_history,Michelangelo,link,13
Caprese_Michelangelo,Michelangelo,link,16
The_Genius_of_Victory,Michelangelo,link,11
Mannerism,Michelangelo,link,118
Jeremiah,Michelangelo,link,30
Vittoria_Colonna,Michelangelo,link,70
Peter_Paul_Rubens,Michelangelo,link,35
Mononym,Michelangelo,link,10
Anthony_the_Great,Michelangelo,link,12
Battle_of_Cascina_(Michelangelo),Michelangelo,link,23
Cangiante,Michelangelo,link,13
Teenage_Mutant_Ninja_Turtles,Michelangelo,link,510
Lisa_del_Giocondo,Michelangelo,link,119
Rembrandt,Michelangelo,link,33
The_Devil_Conspiracy,Michelangelo,link,47
Rondanini_Pietà,Michelangelo,link,92
Charlton_Heston,Michelangelo,link,14
Michelangelo_Buonarroti_the_Younger,Michelangelo,link,23
Isabella_Stewart_Gardner_Museum_theft,Michelangelo,link,21
Drawing,Michelangelo,link,11
Baroque_architecture,Michelangelo,link,11
The_Entombment_(Michelangelo),Michelangelo,link,32
Apostolic_Palace,Michelangelo,link,16
Domenico_Ghirlandaio,Michelangelo,link,30
Second_Coming,Michelangelo,link,16
Wikipedia,Michelangelo,other,25
Humanism,Michelangelo,link,15
Donatello,Michelangelo,link,388
Art,Michelangelo,link,18
The_Agony_and_the_Ecstasy_(film),Michelangelo,link,122
Filippo_Brunelleschi,Michelangelo,link,14
Pope_Alexander_VI,Michelangelo,link,27
Main_Page,Michelangelo,other,664
Italian_Renaissance_painting,Michelangelo,link,70
Old_Master,Michelangelo,link,101
other-other,Michelangelo,external,40
The_Lego_Movie_(franchise),Michelangelo,link,22
Palazzo_Vecchio,Michelangelo,link,100
Calendar_of_saints_(Lutheran),Michelangelo,link,11
Belvedere_Torso,Michelangelo,link,13
List_of_messiah_claimants,Michelangelo,link,10
other-internal,Michelangelo,external,2958
David_(Michelangelo),Michelangelo,link,4630
List_of_literary_movements,Michelangelo,link,10
David,Michelangelo,link,110
"Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",Michelangelo,link,16
Italian_art,Michelangelo,link,12
History_of_Florence,Michelangelo,link,13
Marble_sculpture,Michelangelo,link,22
Gian_Lorenzo_Bernini,Michelangelo,link,324
Madonna_of_the_Stairs,Michelangelo,link,16
Michelangelo_(disambiguation),Michelangelo,link,22
Moses_(Michelangelo),Michelangelo,link,211
Amor_Vincit_Omnia_(Caravaggio),Michelangelo,link,12
Lorenzo_de'_Medici,Michelangelo,link,433
Medici_Chapel,Michelangelo,link,63
Art_patronage_of_Julius_II,Michelangelo,link,11
Catholic_Church,Michelangelo,link,31
Madonna_of_Bruges,Michelangelo,link,232
Sistine_Chapel_ceiling,Michelangelo,link,1371
Medici_(TV_series),Michelangelo,link,14
Vatican_City,Michelangelo,link,83
Pitti_Tondo,Michelangelo,link,20
Michelangelo_(computer_virus),Michelangelo,link,16
Raphael,Michelangelo,link,2237
Isaiah,Michelangelo,link,28
Albrecht_Dürer,Michelangelo,link,28
Nude_(art),Michelangelo,link,27
William_Blake,Michelangelo,link,22
Book_of_Judith,Michelangelo,link,15
Saturn_(Rubens),Michelangelo,link,23
Palazzo_Farnese,Michelangelo,link,12
1564,Michelangelo,link,13
Piazza_della_Signoria,Michelangelo,link,31
Giuliano_de'_Medici,Michelangelo,link,27
Raphael_Rooms,Michelangelo,link,41
1500s_(decade),Michelangelo,link,12
Stendhal_syndrome,Michelangelo,link,22
El_Greco,Michelangelo,link,34
"List_of_gay,_lesbian_or_bisexual_people:_M",Michelangelo,link,20
Francesco_Borromini,Michelangelo,link,15
History_of_painting,Michelangelo,link,18
Same-sex_relationship,Michelangelo,link,13
Michelangelo_(Teenage_Mutant_Ninja_Turtles),Michelangelo,link,955
Madonna_(art),Michelangelo,link,11
The_Last_Supper_(Leonardo),Michelangelo,link,19
Demon,Michelangelo,link,13
Flaying,Michelangelo,link,307
Mona_Lisa,Michelangelo,link,31
Teenage_Mutant_Ninja_Turtles_(Mirage_Studios),Michelangelo,link,53
Tintoretto,Michelangelo,link,13
Contrapposto,Michelangelo,link,12
Santa_Maria_degli_Angeli_e_dei_Martiri,Michelangelo,link,116
Buonarroti,Michelangelo,link,21
Leonardo_da_Vinci,Michelangelo,link,6739
Masterpiece,Michelangelo,link,274
"Santa_Croce,_Florence",Michelangelo,link,299
Adam_and_Eve,Michelangelo,link,49
Palace_of_Whitehall,Michelangelo,link,18
Niccolò_Machiavelli,Michelangelo,link,15
Jack_White,Michelangelo,link,22
Florence_Baptistery,Michelangelo,link,18
Biagio_da_Cesena,Michelangelo,link,16
Artemisia_Gentileschi,Michelangelo,link,43
Life_expectancy,Michelangelo,link,24
The_Deposition_(Michelangelo),Michelangelo,link,64
History_of_homosexuality,Michelangelo,link,18
Flying_Spaghetti_Monster,Michelangelo,link,43
Pietro_Torrigiano,Michelangelo,link,51
1488,Michelangelo,link,25
Vitruvius,Michelangelo,link,21
Andrea_del_Sarto,Michelangelo,link,12
William_Shakespeare,Michelangelo,other,23
Renaissance_architecture,Michelangelo,link,28
Castello_Sforzesco,Michelangelo,link,13
Arturo_Di_Modica,Michelangelo,link,16
Sigmund_Freud's_views_on_homosexuality,Michelangelo,link,31
Siena_Cathedral,Michelangelo,link,62
Sin_(2019_film),Michelangelo,link,75
Laurentian_Library,Michelangelo,link,23
List_of_works_by_Michelangelo,Michelangelo,link,206
SS_Michelangelo,Michelangelo,link,16
Renaissance_art,Michelangelo,link,101
Bargello,Michelangelo,link,15
Uffizi,Michelangelo,link,112
Jakob_Böhme,Michelangelo,link,14
No_Time_for_Nuts,Michelangelo,link,12
Pieter_Bruegel_the_Elder,Michelangelo,link,10
List_of_people_with_tinnitus,Michelangelo,link,22
"Tall,_dark_and_handsome",Michelangelo,link,16
Vincent_van_Gogh,Michelangelo,other,22
List_of_works_by_Leonardo_da_Vinci,Michelangelo,other,12
Galileo_Galilei,Michelangelo,other,34
Leon_Battista_Alberti,Michelangelo,link,11
Restoration_of_the_Sistine_Chapel_frescoes,Michelangelo,link,167
Nordicism,Michelangelo,link,13
Sleeping_Cupid_(Michelangelo),Michelangelo,link,11
Tomb_of_Dante,Michelangelo,link,12
Sculpture_in_the_Renaissance_period,Michelangelo,link,24
Angel_(Michelangelo),Michelangelo,link,34
Florence_Cathedral,Michelangelo,link,23
Crucifixion_of_Jesus,Michelangelo,link,10
The_Conversion_of_Saul_(Michelangelo),Michelangelo,link,32
The_Raising_of_Lazarus_(Sebastiano_del_Piombo),Michelangelo,link,12
Omnipotence,Michelangelo,link,25
The_Last_Judgment_(Michelangelo),Michelangelo,link,740
Replicas_of_Michelangelo's_David,Michelangelo,link,26
The_Monuments_Men,Michelangelo,link,21
Vatican_Apostolic_Archive,Michelangelo,link,42
Carrara_marble,Michelangelo,link,12
Angkor_Wat,Michelangelo,link,12
Pablo_Picasso,Michelangelo,other,32
Claude_Monet,Michelangelo,other,11
Pope_Innocent_VIII,Michelangelo,link,10
Christian_demonology,Michelangelo,link,34
List_of_Renaissance_figures,Michelangelo,link,35
The_Wedding_at_Cana,Michelangelo,link,14
Societal_and_cultural_aspects_of_autism,Michelangelo,link,26
Renaissance,Michelangelo,link,530
Rome,Michelangelo,link,15
Sebastiano_del_Piombo,Michelangelo,link,15
God_the_Father_in_Western_art,Michelangelo,link,11
Ernő_Rubik,Michelangelo,link,10
"Santo_Spirito,_Florence",Michelangelo,link,37
16th_century,Michelangelo,link,57
Separation_of_Light_from_Darkness,Michelangelo,link,22
"Giuliano_de'_Medici,_Duke_of_Nemours",Michelangelo,link,13
Leonardo's_horse,Michelangelo,link,10
Charon,Michelangelo,link,18
Atlas_Slave,Michelangelo,link,10
Italy,Michelangelo,link,77
Adam,Michelangelo,link,153
Tuscany,Michelangelo,link,11
Crucifix_(Michelangelo),Michelangelo,link,23
Steve_McQueen_filmography,Michelangelo,other,11
Sofonisba_Anguissola,Michelangelo,link,21
other-external,Michelangelo,external,856
Culture_of_Italy,Michelangelo,link,18
Rebellious_Slave,Michelangelo,link,16
Irving_Stone,Michelangelo,link,14
Piazza_Santa_Croce,Michelangelo,link,13
Paul_the_Apostle,Michelangelo,link,20
Doni_Tondo,Michelangelo,link,94
Roman_Renaissance,Michelangelo,link,20
Nicodemite,Michelangelo,link,27
List_of_paintings_by_Raphael,Michelangelo,link,51
Piazza_del_Campidoglio,Michelangelo,link,30
Capitoline_Museums,Michelangelo,link,33
Last_Judgment,Michelangelo,link,23
Contessina_di_Lorenzo_de'_Medici,Michelangelo,link,12
Renaissance_literature,Michelangelo,link,33
Pope_Julius_II,Michelangelo,link,60
The_Battle_of_Anghiari_(Leonardo),Michelangelo,link,15
Pietà_(Michelangelo),Michelangelo,link,1776
Gallery_of_Sistine_Chapel_ceiling,Michelangelo,link,40
Tommaso_dei_Cavalieri,Michelangelo,link,167
Capitoline_Hill,Michelangelo,link,77
Homoeroticism,Michelangelo,link,13
Italian_Renaissance,Michelangelo,link,245
Fresco,Michelangelo,link,158
List_of_The_Lego_Movie_(franchise)_characters,Michelangelo,link,11
Baroque,Michelangelo,link,25
Libyan_Sibyl,Michelangelo,link,10
Head_of_a_Faun,Michelangelo,link,32
Medici_Madonna,Michelangelo,link,17
Demonology,Michelangelo,link,20
Pierino_da_Vinci,Michelangelo,link,14
Arezzo,Michelangelo,link,75
Nicodemus,Michelangelo,link,29
Bacchus_(Michelangelo),Michelangelo,link,71
Florence,Michelangelo,link,189
Book_of_Genesis,Michelangelo,link,11
Laszlo_Toth,Michelangelo,link,12
Cappella_Paolina,Michelangelo,link,15
Creativity_and_mental_health,Michelangelo,link,32
Raffaele_Riario,Michelangelo,link,10
List_of_LGBT_Catholics,Michelangelo,link,14
Galleria_dell'Accademia,Michelangelo,link,101
The_School_of_Athens,Michelangelo,link,253
other-search,Michelangelo,external,60476
Porta_Pia,Michelangelo,link,16
Leda_and_the_Swan,Michelangelo,link,28
Accademia_di_Belle_Arti_di_Firenze,Michelangelo,link,10
Baroque_painting,Michelangelo,link,12
Accademia_delle_Arti_del_Disegno,Michelangelo,link,11
Florentine_painting,Michelangelo,link,16
Daniele_da_Volterra,Michelangelo,link,14
Domus_Aurea,Michelangelo,link,22
Pietà,Michelangelo,link,205
Piazzale_Michelangelo,Michelangelo,link,35
Sandro_Botticelli,Michelangelo,link,78
"San_Domenico,_Bologna",Michelangelo,link,22
Leah,Michelangelo,link,17
Bartholomew_the_Apostle,Michelangelo,link,45
Palazzo_Medici_Riccardi,Michelangelo,link,11
The_Creation_of_Adam,Michelangelo,link,1594
Pope_Clement_VII,Michelangelo,link,97
List_of_Little_Einsteins_episodes,Michelangelo,link,25
St._Peter's_Basilica,Michelangelo,link,1469
Pre-Raphaelite_Brotherhood,Michelangelo,link,129
Leda_and_the_Swan_(Michelangelo),Michelangelo,link,20
Freaky_Styley,Michelangelo,link,12
Prophet,Michelangelo,link,13
God,Michelangelo,other,10
Sistine_Chapel,Michelangelo,link,2592
Moses,Michelangelo,link,25
Tomb_of_Pope_Julius_II,Michelangelo,link,56
Donato_Bramante,Michelangelo,link,76
Santa_Maria_sopra_Minerva,Michelangelo,link,25
Lorenzo_Ghiberti,Michelangelo,link,28
"Risen_Christ_(Michelangelo,_Santa_Maria_sopra_Minerva)",Michelangelo,link,24
Battle_of_the_Centaurs_(Michelangelo),Michelangelo,link,29
Importuno_di_Michelangelo,Michelangelo,link,13
Michael_(archangel),Michelangelo,link,11
Taddei_Tondo,Michelangelo,link,11
Spanish_Steps,Michelangelo,link,15
"Basilica_of_San_Lorenzo,_Florence",Michelangelo,link,50
Brutus_(Michelangelo),Michelangelo,link,13
Michel-Ange,Michelangelo,link,14
Man,Michelangelo,link,21
List_of_Medici_episodes,Michelangelo,link,10
Alcohol_intoxication,Michelangelo,link,162
Casa_Buonarroti,Michelangelo,link,25
Quattrocento,Michelangelo,link,38
Sculpture,Michelangelo,link,104
Mimar_Sinan,Michelangelo,link,42
Classical_sculpture,Michelangelo,link,15
High_culture,Michelangelo,link,27
Personal_life_of_Leonardo_da_Vinci,Michelangelo,link,149
Homoerotic_poetry,Michelangelo,link,22
Ezekiel,Michelangelo,link,31
Rialto_Bridge,Michelangelo,link,27
Michelangelo_(given_name),Michelangelo,link,42
Italian_Renaissance_sculpture,Michelangelo,link,37
David_(Donatello),Michelangelo,link,16
Auguste_Rodin,Michelangelo,link,24
Fireworks_(1947_film),Michelangelo,link,10
Théodore_Géricault,Michelangelo,link,10
"Church_of_Our_Lady,_Bruges",Michelangelo,link,11
High_Renaissance,Raphael,link,883
Caravaggio,Raphael,link,21
Louvre,Raphael,link,45
Florentine_painting,Raphael,link,17
Domus_Aurea,Raphael,link,20
Saint_George_and_the_Dragon_(Raphael),Raphael,link,42
Aristotle,Raphael,link,36
Pythagoras,Raphael,link,11
La_velata,Raphael,link,35
The_Marriage_of_the_Virgin_(Raphael),Raphael,link,39
St._Peter's_Basilica,Raphael,link,59
Pre-Raphaelite_Brotherhood,Raphael,link,775
Miraculous_catch_of_fish,Raphael,link,21
Palazzo_Pitti,Raphael,link,11
Sistine_Madonna,Raphael,link,227
El_Greco,Raphael,link,28
Museo_del_Prado,Raphael,link,44
History_of_painting,Raphael,link,17
Renaissance_architecture,Raphael,link,17
Siena_Cathedral,Raphael,link,11
Ezekiel,Raphael,link,44
St._Michael_(Raphael),Raphael,link,22
Donatello,Raphael,link,253
Giovanni_Battista_Salvi_da_Sassoferrato,Raphael,link,15
The_Agony_and_the_Ecstasy_(film),Raphael,link,34
William-Adolphe_Bouguereau,Raphael,link,34
Pope_Alexander_VI,Raphael,link,11
Main_Page,Raphael,other,285
Pope_Clement_VII,Raphael,link,31
Portrait_of_Agnolo_Doni,Raphael,link,13
Raffaello_Sanzio_Morghen,Raphael,link,10
National_Gallery_of_Art,Raphael,link,24
List_of_paintings_by_Raphael,Raphael,link,200
Raphael_Rooms,Raphael,link,201
Andrea_del_Sarto,Raphael,link,17
Yolande_de_Polastron,Raphael,link,10
Madonna_del_Prato_(Raphael),Raphael,link,54
Giulio_Romano,Raphael,link,34
Idealism,Raphael,link,23
Leonardo_da_Vinci,Raphael,link,211
La_belle_jardinière,Raphael,link,16
Portrait_of_a_Cardinal_(Raphael),Raphael,link,11
Madonna_del_Cardellino,Raphael,link,32
Petrarch,Raphael,other,10
Iran,Raphael,link,10
List_of_last_words,Raphael,link,14
Gemäldegalerie_Alte_Meister,Raphael,link,12
Raphael_(disambiguation),Raphael,link,68
St._Michael_Vanquishing_Satan,Raphael,link,83
"List_of_painters_by_name_beginning_with_""R""",Raphael,link,13
Attila,Raphael,link,31
Italy,Raphael,link,26
