,Donatello,Leonardo da Vinci,Michelangelo,Raphael,the painter Raphael,the sculptor Donatello,Michelangelo Buonarroti,Titian,Caravaggio,Botticelli,Verrocchio,Ghirlandaio,Fra Angelico,Masaccio,Giovanni Bellini,Michaelangelo,the divine Michelangelo,Renaissance art,Leonardo and Michelangelo,Michelangelo and Raphael,Raphael and Donatello,Lorenzo Ghiberti,Luca della Robbia,Andrea del Sarto,Mantegna,Tintoretto,Perugino,Teenage Mutant Ninja Turtles,Ninja Turtles,TMNT
1925,1.084606111589892e-07,3.32743866238161e-07,3.1920444598654285e-07,1.7692265146251884e-06,8.502824000444773e-10,0.0,1.1890697315664056e-08,4.331296565851517e-07,3.991540609149524e-08,3.250254394515651e-07,3.753948973894694e-08,2.055168124570628e-08,9.04726960015978e-08,4.989425761436905e-08,3.580133878244851e-08,1.4493093836165372e-08,0.0,2.8305029431408002e-08,1.700564800088955e-09,4.534839614933617e-09,0.0,4.0066479023437296e-09,2.3241053526135147e-08,6.107862304816082e-08,7.496017673247479e-08,1.319821905099161e-07,8.339468848816979e-08,0.0,0.0,1.1879584815854827e-10
1926,1.68863465432878e-07,3.309401961359981e-07,4.228199941280764e-07,1.8030473256658297e-06,2.6233865080271807e-10,7.870159524081544e-10,1.3775629525980548e-08,4.870806833423558e-07,3.450017160844254e-08,2.338957330039193e-07,4.9821334613398e-08,2.4800442588457372e-08,9.882516849302193e-08,5.257694013494074e-08,3.6176000861587454e-08,1.8076766750141363e-08,3.935079762040772e-10,2.5514861334841044e-08,2.229878504067528e-09,7.214312702785719e-09,0.0,8.984105903664386e-09,2.688971179054533e-08,5.732099594979446e-08,1.126491255831752e-07,1.2841118746109714e-07,1.0085513224566969e-07,0.0,0.0,2.204483817713765e-10
1927,1.175758654881065e-07,3.262147174609709e-07,4.128541490899807e-07,1.9181375137122814e-06,2.6651528206578234e-10,1.3325764103289115e-10,8.986752675355092e-09,5.564216394304822e-07,5.6668444159413425e-08,2.12729759141439e-07,4.729806946102144e-08,2.4653003194430312e-08,1.049264142238826e-07,5.677999581621408e-08,7.019382763928661e-08,2.186420289262969e-08,0.0,2.5381504897836752e-08,2.265379883681362e-09,5.863336038913758e-09,0.0,5.707802674947969e-09,2.9449939376036127e-08,8.954913255365683e-08,1.0965566588083676e-07,1.8562261061561006e-07,1.233765658525954e-07,0.0,0.0,1.1155205231760945e-10
1928,1.581095148139866e-07,3.379122688329517e-07,4.619381854809035e-07,1.807722355806618e-06,1.2622797251893303e-10,2.5245594503786606e-10,1.1632596219612878e-08,4.367338419797306e-07,3.4205875465431745e-08,2.037526485310082e-07,5.5597787707029056e-08,3.261736836179807e-08,1.8969194570672698e-07,8.51440375981838e-08,4.7106258449503e-08,2.403942289674888e-08,0.0,2.4992806046952865e-08,4.039295120605857e-09,4.544206788636984e-09,0.0,1.1747770756187492e-08,3.3197956383901335e-08,7.131880153110616e-08,8.567354115029958e-08,1.469899615358372e-07,9.594589300832013e-08,0.0,0.0,1.0590054527748194e-10
1929,1.5344913606440969e-07,3.8643761968160106e-07,5.161471108294791e-07,1.7215843399753794e-06,2.4450338975690045e-10,9.780135590276018e-10,1.2716824038250252e-08,4.848623120778939e-07,6.287721987519035e-08,3.502866263715987e-07,9.929061661750893e-08,4.800413933025993e-08,1.299570158153074e-07,7.539112090171329e-08,5.0086438108110094e-08,2.0822309210188905e-08,1.2225169487845022e-10,2.4095035300319978e-08,2.811789023837718e-09,9.41338029747385e-09,0.0,8.14322920206223e-09,3.2763455948270355e-08,7.212850050564158e-08,1.1375340136510205e-07,1.4534586512127134e-07,1.1098393315478461e-07,0.0,0.0,1.025729501336059e-10
1930,1.322643754519959e-07,3.442192735292338e-07,4.959653665537189e-07,1.6761465531089923e-06,7.46679551522078e-10,9.955727353627708e-10,1.3941534149353174e-08,5.312428470460873e-07,5.2551936136069344e-08,2.305000634805765e-07,7.440521443413672e-08,3.1947415379818274e-08,1.447425859169016e-07,8.31465243322782e-08,5.1799034395116905e-08,2.0708585068973665e-08,2.488931838406927e-10,2.878983451637396e-08,4.2311842918252304e-09,8.089028114000031e-09,0.0,1.0087776836087414e-08,2.8249376171629592e-08,6.458778045725921e-08,1.553664077391659e-07,1.7035151245181626e-07,9.667474643038076e-08,0.0,0.0,1.0406323719402977e-10
1931,1.152596595943578e-07,3.4603380072439904e-07,3.796613441409136e-07,1.53662983848335e-06,1.19157642086698e-10,7.149458802757636e-10,1.5712641854292997e-08,3.685328238134389e-07,4.580577694923704e-08,2.6291127142030746e-07,5.117131607335068e-08,6.736728153100557e-08,9.68765618836187e-08,8.833261944118932e-08,3.597653019937752e-08,1.7189586642984978e-08,0.0,2.7199124730259427e-08,3.098098666498572e-09,6.077039760299385e-09,0.0,5.743241437983215e-09,1.5252178187097343e-08,4.8497160065608114e-08,6.597621649007125e-08,1.1923413012482342e-07,6.180302136726823e-08,0.0,0.0,9.936177575164962e-11
1932,9.89529382877663e-08,3.184661636623787e-07,3.654734257452219e-07,1.578027422510786e-06,9.080501905955883e-10,3.891643673981093e-10,7.68997931999138e-09,3.5459947866911534e-07,4.045109136541215e-08,1.5908587158719456e-07,4.969394851173092e-08,2.47926035257251e-08,7.536179680300847e-08,3.7406383768257e-08,5.229185973121275e-08,1.4353612520778825e-08,0.0,2.5672701298162792e-08,1.8161003811911767e-09,5.318579798796463e-09,0.0,6.743520408747372e-09,2.39984689898165e-08,4.397557518132089e-08,9.558200986248266e-08,1.224406673827616e-07,5.7088232807700485e-08,0.0,0.0,0.0
1933,7.32512503986982e-08,2.844581104000099e-07,3.035218867353251e-07,1.562122633913532e-06,4.380771578826881e-10,1.4602571929422936e-10,8.918205729457895e-09,2.789417408166628e-07,2.6781341588844043e-08,1.4405671322492708e-07,3.3751827999140005e-08,1.2962658502146953e-08,6.96152469004119e-08,3.729821784759224e-08,2.7952586023616284e-08,1.895483059399794e-08,2.9205143858845867e-10,1.7303982247085514e-08,1.6062828844809472e-09,3.358591627034002e-09,0.0,3.0614737411838174e-09,9.783723164957792e-09,3.650642810271165e-08,9.379584042790157e-08,7.557474646091579e-08,9.83205410420851e-08,0.0,0.0,1.2228923429447036e-10
1934,7.210378782929183e-08,3.00082973581084e-07,3.9318732092397113e-07,1.6665542261762312e-06,8.354978375813005e-10,1.3924963959688339e-10,9.014542001750673e-09,3.084828676946927e-07,3.72186228503324e-08,1.1748950612400225e-07,2.5784688162389106e-08,1.3300699208684822e-08,6.754558512511721e-08,4.013544341319175e-08,2.6916660900155875e-08,1.9951048813027228e-08,1.3924963959688339e-10,2.43773534691627e-08,3.0634921266425863e-09,3.341991350325202e-09,2.7849927919376677e-10,4.3168228991419255e-09,1.1696969615115904e-08,3.3976913726974096e-08,8.855464983525962e-08,8.07375784006581e-08,6.697018761769868e-08,0.0,0.0,3.500184031501874e-10
